varietats,pais_origen,regions_utilitzen,regions_noms,tonalitats_1,tonalitats_2,tonalitats_3,tonalitats_4,tonalitats_5
Muscat Blanc,France,23,"Egeo Septentrional (North Aegean), Plešivica, Pokuplje, Moslavina, Prigorje – Bilogora, Hrvatska Istra (Istria), Hrvatsko Primorje (Primorje), Sjeverna Dalmacija (North Dalmatia), Dalmatinska Zagora (Dalmatian Hinterland), Srednja i Južna Dalmacija (Central and South Dalmatia), Dobruja (Dobrogea), Black Sea, British Columbia, Baja Norte (Baja California), Sonora, Durango, Zacatecas, Aguascalientes, Querétaro, Planalto Catarinense, Salta, Tucumán, Mendoza",Muscat, Floral, Citrus, Honeyed,
Trebbiano,Italia,23,"Abruzzo, Emilia-Romagna, Lazio, Lombardy, Marche, Molise, Umbria, Tuscany (Toscana), Veneto, Dobruja (Dobrogea), Black Sea, British Columbia, Baja Norte (Baja California), Sonora, Durango, Zacatecas, Aguascalientes, Querétaro, Vale do São Francisco, Planalto Catarinense, Salta, Tucumán, Mendoza",White peach, Lemon, Green apple, Basil, Seashells
Verdejo,Espanya,23,"Távora and Varosa, Tejo, Madeira, Açores, Cigales, La Mancha, Malaga, Ribera del Guadiana, Rueda, Sierras de Málaga, Tacoronte-Acentejo, Tierra de León, Tierra del Vino de Zamora, Toro, Valdepeñas, Friuli-Venezia-Giulia, Marche, Apulia (Puglia), Veneto, Coahuila, New South Wales, South Burnett, Granite Belt",Fennel, Scrubland grass, Fruity, Slightly sweetened, Bitter
Pinot Blanc,France,22,"Champagne, Crémant d'Alsace AOC, Friuli-Venezia-Giulia, Lombardy, Molise, Trentino-Alto-Adige, Pfalz, Rheinhessen, Nahe, Mosel, Mittelrhein, Saale-Unstrut, Burgenland, Lower Austria, Pannonia Superior Borrégió, Balatoni Borrégió, Pannon Borrégió, Duna Borrégió, Észak-Magyarországi Borrégió, Plešivica, Oregon, Canelones",Mango, White peach, Pear, Hazelnut,
Gewürztraminer,Alemanya,18,"Malaga, Sierras de Málaga, Somontano, Alsace AOC, Alsace Grand Cru AOC, Trentino-Alto-Adige, Baden, Pfalz, British Columbia, Quebec, Ontario, California, Oregon, Washington, Campanha Gaúcha, Valle del Curicó, Central Otago, Gisborne",Lychee, Rose, Grapefruit, Tangerine, Ginger
Müller-Thurga,Alemanya,18,"Trentino-Alto-Adige, Ahr, Baden, Pfalz, Rheinhessen, Nahe, Mosel, Rheingau, Franken (Franconia), Hessische Bergstrasse, Mittelrhein, Saale-Unstrut, Sachsen (Saxony), Burgenland, Pannonia Superior Borrégió, Pannon Borrégió, Észak-Magyarországi Borrégió, Plešivica",Herbal, Spice, Fresh, Aromatic,
Müller-Thurgau,Alemanya,17,"Trentino-Alto-Adige, Ahr, Baden, Pfalz, Rheinhessen, Nahe, Mosel, Rheingau, Franken (Franconia), Hessische Bergstrasse, Mittelrhein, Saale-Unstrut, Sachsen (Saxony), Burgenland, Pannonia Superior Borrégió, Pannon Borrégió, Észak-Magyarországi Borrégió",Herbal, Spice, Fresh, Aromatic,
Aligote,France,16,"Beaujolais, Dobruja (Dobrogea), Black Sea, Danubian Plain, British Columbia, Baja Norte (Baja California), Sonora, Durango, Zacatecas, Aguascalientes, Querétaro, Vale do São Francisco, Planalto Catarinense, Salta, Tucumán, Mendoza",Green apple, Citrus, Floral, Herbal,
Garnacha,Espanya,16,"Alella, Calatayud, Campo de Borja, Cariñena, Empordá, Montsant, Navarra, Priorat, Rioja, Rueda, Sierras de Málaga, Somontano, Terra Alta, Côtes du Rhône, Châteauneuf-du-Pape, Minervois",Red fruit, Floral, Herbal, Spicy,
Semillón,France,16,"Sauternes, California, Serra Gaúcha, Mendoza, La Pampa, Río Negro, Western Australia, South Australia, Victoria, New South Wales, South Burnett, Stellenbosch, Paarl, Tulbagh, Wellington, Franschhoek Valley",Fig, Honey, Wax, Citrus, Herbal
Garnacha Blanc,Espanya,14,"Alella, Calatayud, Campo de Borja, Cariñena, Empordá, Montsant, Navarra, Priorat, Rioja, Somontano, Terra Alta, Côtes du Rhône, Châteauneuf-du-Pape, Minervois",Floral, Citrus, Herbal,,
Torrontés,Argentina,14,"Rías Baixas, Ribeiro, Canelones, Ica, Lima, Moquegua, Arequipa, Valle del Elqui, Salta, Tucumán, Catamarca, La Rioja, San Juan, Mendoza",Rose, Lychee, Muscat, Citrus, Herbal
Albillo,Espanya,12,"Arlanza, Gran Canaria, La Palma, Méntrida, Ribera del Duero, Toro, Madrid, Ica, Lima, Moquegua, Arequipa, Valle del Elqui",Floral, Citrus, Herbal,,
Garnacha Blanca,Espanya,11,"Alella, Calatayud, Campo de Borja, Cariñena, Empordá, Montsant, Navarra, Priorat, Rioja, Somontano, Terra Alta",Floral, Citrus, Herbal,,
Welschriesling,Austria,11,"Styria, Burgenland, Lower Austria, Pannonia Superior Borrégió, Balatoni Borrégió, Pannon Borrégió, Duna Borrégió, Észak-Magyarországi Borrégió, Valaquia (Wallachia), Moldavia, Serra Gaúcha",Peach, Apricot, Citrus, Floral,
Airén,Espanya,8,"Bullas, Jumilla, La Mancha, Manchuela, Montilla-Moriles, Uclés, Valdepeñas, Yecla",Floral, Citrus, Herbal,,
Parellada,Espanya,8,"Catalonia, Cava, Conca de Barberá, Costers del Segre, Penedés, Ribera del Guadiana, Tarragona, Terra Alta",Floral, Citrus, Herbal,,
Sylvaner,Alemanya,8,"Burgenland, Lower Austria, Pannonia Superior Borrégió, Balatoni Borrégió, Pannon Borrégió, Duna Borrégió, Észak-Magyarországi Borrégió, Plešivica",Green apple, Citrus, Floral, Herbal,
Albariño,Espanya,7,"Vinho Verde, Tejo, Rías Baixas, Ribeira Sacra, Ribeiro, Canelones, Maldonado",Peach, Apricot, Citrus, Floral, Mineral
Arinto,Portugal,7,"Vinho Verde, Beira Interior, Lisboa, Tejo, Península de Setúbal, Algarve, Açores",Citrus, Green apple, Mineral, Herbal,
Furmint,Hungria,7,"Burgenland, Lower Austria, Pannonia Superior Borrégió, Balatoni Borrégió, Pannon Borrégió, Duna Borrégió, Észak-Magyarországi Borrégió",Peach, Apricot, Citrus, Floral, Honeyed
Graševina,Croacia,7,"Plešivica, Pokuplje, Moslavina, Prigorje – Bilogora, Slavonia, Podunavlje (Danube), Dalmatinska Zagora (Dalmatian Hinterland)",Green apple, Citrus, Floral, Herbal,
Pinot Grigio,Italia,7,"Friuli-Venezia-Giulia, Molise, Trentino-Alto-Adige, Aosta Valley (Valle d'Aosta), Veneto, Slavonia, Podunavlje (Danube)",Green apple, Citrus, Floral, Herbal,
Colombard,France,6,"Malaga, Sierras de Málaga, Comté-Tolosan, Breedekloof, Robertson, Worcester",Citrus, Green apple, Floral, Herbal,
Fernão Pires,Portugal,6,"Bairrada, Beira Interior, Lisboa, Tejo, Península de Setúbal, Alentejo",Green apple, Citrus, Floral, Herbal,
Godello,Espanya,6,"Bierzo, Monterrei, Rías Baixas, Ribeira Sacra, Ribeiro, Valdeorras",Peach, Apricot, Citrus, Floral, Mineral
Merseguera,Espanya,6,"Bullas, Jumilla, Manchuela, Uclés, Valencia, Yecla",Floral, Citrus, Herbal,,
Roussanne,France,6,"Hermitage, Côtes du Rhône, Châteauneuf-du-Pape, Minervois, Saint-Joseph, Duché d'Uzès",Apricot, Honey, Herbal, Floral,
Scheurebe,Alemanya,6,"Mittelrhein, Sachsen (Saxony), Burgenland, Pannonia Superior Borrégió, Pannon Borrégió, Észak-Magyarországi Borrégió",Blackcurrant, Grapefruit, Passion fruit, Floral, Spicy
Silvaner,Alemanya,6,"Ahr, Pfalz, Rheinhessen, Nahe, Franken (Franconia), Saale-Unstrut",Green apple, Citrus, Floral, Herbal,
Vidal,France,6,"Quebec, Ontario, Nova Scotia, Pennsylvania, Connecticut, Massachusetts",Peach, Apricot, Citrus, Floral, Honeyed
Viura,Espanya,6,"Arlanza, Cigales, Navarra, Rioja, Rueda, Tierra del Vino de Zamora",Floral, Citrus, Herbal,,
Goldburger,Austria,5,"Burgenland, Lower Austria, Pannonia Superior Borrégió, Pannon Borrégió, Észak-Magyarországi Borrégió",Peach, Apricot, Citrus, Floral,
Greco,Italia,5,"Basilicata, Calabria, Campania, Lazio, Molise",Peach, Apricot, Citrus, Floral, Mineral
Grüner Veltliner,Austria,5,"Burgenland, Lower Austria, Pannonia Superior Borrégió, Pannon Borrégió, Észak-Magyarországi Borrégió",Pepper, Green apple, Citrus, Floral, Herbal
Italia,Italia,5,"Ica, Lima, Moquegua, Arequipa, Valle del Elqui",Muscat, Floral, Citrus, Honeyed,
Listán Blanco,Espanya,5,"Abona, Tacoronte-Acentejo, Güimar Valley, Orotava Valley, Ycoden-Daute-Isora",Floral, Citrus, Herbal,,
Loureiro,Portugal,5,"Vinho Verde, Monterrei, Rías Baixas, Ribeira Sacra, Ribeiro",Floral, Citrus, Herbal,,
Malagousia,Grecia,5,"Grecia Central (Central Grecia), Macedonia Central (Central Macedonia), Macedonia Occidental (Western Macedonia), Macedonia Oriental y Tracia (Eastern Macedonia and Thrace), Tesalia (Thessaly)",Peach, Apricot, Citrus, Floral, Herbal
Marsanne,France,5,"Hermitage, Côtes du Rhône, Minervois, Saint-Joseph, Canelones",Honey, Almond, Citrus, Herbal, Floral
Muscaris,France,5,"Burgenland, Lower Austria, Pannonia Superior Borrégió, Pannon Borrégió, Észak-Magyarországi Borrégió",Muscat, Floral, Citrus, Honeyed,
Neuburger,Austria,5,"Burgenland, Lower Austria, Pannonia Superior Borrégió, Pannon Borrégió, Észak-Magyarországi Borrégió",Peach, Apricot, Citrus, Floral, Herbal
Palomino,Espanya,5,"Condado de Huelva, Jerez-Xérés-Sherry, Manzanilla Sanlúcar de Barrameda, Rueda, Valdeorras",Floral, Citrus, Herbal,,
Pedro Ximénez,Espanya,5,"Jerez-Xérés-Sherry, Malaga, Montilla-Moriles, Ribera del Guadiana, Sierras de Málaga",Raisin, Fig, Date, Caramel, Toffee
Rotgipfler,Austria,5,"Burgenland, Lower Austria, Pannonia Superior Borrégió, Pannon Borrégió, Észak-Magyarországi Borrégió",Peach, Apricot, Citrus, Floral, Herbal
Seyval Blanc,France,5,"Quebec, Nova Scotia, Pennsylvania, Connecticut, Massachusetts",Green apple, Citrus, Floral, Herbal,
Vermentino,Italia,5,"Côtes de Provence, Vin de Corse, Liguria, Sardinia (Sardegna), Tuscany (Toscana)",Peach, Apricot, Citrus, Floral, Herbal
Weißburgunder,Alemanya,5,"Ahr, Baden, Rheingau, Sachsen (Saxony), Styria",Green apple, Citrus, Floral, Herbal,
Xarel·lo,Espanya,5,"Alella, Catalonia, Cava, Penedés, Querétaro",Floral, Citrus, Herbal,,
Zierfandler,Austria,5,"Burgenland, Lower Austria, Pannonia Superior Borrégió, Pannon Borrégió, Észak-Magyarországi Borrégió",Peach, Apricot, Citrus, Floral, Herbal
Bouvier,Hungria,4,"Burgenland, Pannonia Superior Borrégió, Pannon Borrégió, Észak-Magyarországi Borrégió",Floral, Fruity, Spicy,,
Cabernet Sauvignon,France,4,"Rueda, Sierras de Málaga, Somontano, Struma Valley",Blackcurrant, Cedar, Tobacco,,
Doña Blanca,Espanya,4,"Arribes, Bierzo, Monterrei, Valdeorras",Floral, Citrus, Herbal,,
Frühroter Veltliner,Austria,4,"Burgenland, Pannonia Superior Borrégió, Pannon Borrégió, Észak-Magyarországi Borrégió",Spicy, Fruity, Mineral,,
Gold muscatel,France,4,"Burgenland, Pannonia Superior Borrégió, Pannon Borrégió, Észak-Magyarországi Borrégió",Muscat, Floral, Honeyed,,
Grauburgunder,Alemanya,4,"Baden, Rheingau, Sachsen (Saxony), Styria",Nutty, Spicy, Fruity,,
Kerner,Alemanya,4,"Ahr, Pfalz, Rheingau, Mittelrhein",Floral, Fruity, Spicy,,
Merlot,France,4,"Rueda, Sierras de Málaga, Somontano, Struma Valley",Plum, Blackberry, Earthy,,
Moscatell de Alejandría,Egypt,4,"Alicante, Malaga, Sierras de Málaga, Catamarca",Muscat, Floral, Citrus,,
Muscat Blossom,France,4,"Burgenland, Pannonia Superior Borrégió, Pannon Borrégió, Észak-Magyarországi Borrégió",Muscat, Floral, Honeyed,,
Sercial,Portugal,4,"Távora and Varosa, Bairrada, Madeira, Açores",Citrus, Herbal, Mineral,,
Souvignier Gris,Alemanya,4,"Burgenland, Pannonia Superior Borrégió, Pannon Borrégió, Észak-Magyarországi Borrégió",Floral, Fruity, Spicy,,
Syrah,France,4,"Rueda, Sierras de Málaga, Somontano, Struma Valley",Blackberry, Pepper, Smoke,,
Treixadura,Portugal,4,"Monterrei, Rías Baixas, Ribeira Sacra, Ribeiro",Floral, Citrus, Mineral,,
Vidal Blanc,France,4,"Nova Scotia, Pennsylvania, Connecticut, Massachusetts",Floral, Fruity, Honeyed,,
Assyrtiko,Grecia,3,"Egeo Meridional (South Aegean), Epiro (Epirus), Grecia Central (Central Grecia)",Citrus, Mineral, Saline,,
Athiri,Grecia,3,"Egeo Meridional (South Aegean), Egeo Septentrional (North Aegean), Grecia Central (Central Grecia)",Floral, Citrus, Herbal,,
Fetească Albă,Romania,3,"Transilvania (Transylvania), Valaquia (Wallachia), Moldavia",Floral, Fruity, Spicy,,
Fiano,Italia,3,"Campania, Molise, Apulia (Puglia)",Floral, Honeyed, Nutty,,
Gual,Espanya,3,"Tacoronte-Acentejo, Güimar Valley, Orotava Valley",Floral, Citrus, Herbal,,
Hondarrabi Zuri,Espanya,3,"Chacolí de Álava, Chacolí de Getaria, Chacolí de Vizcaya",Citrus, Floral, Mineral,,
La Crescent,Estats_Units,3,"Pennsylvania, Connecticut, Massachusetts",Floral, Fruity, Spicy,,
Malvar,Espanya,3,"Méntrida, Ribera del Guadiana, Madrid",Floral, Citrus, Herbal,,
Roditis,Grecia,3,"Grecia Central (Central Grecia), Grecia Occidental (Western Grecia), Peloponeso (Peloponnese)",Floral, Citrus, Herbal,,
Tempranillo,Espanya,3,"Rioja, Sierras de Málaga, Somontano",Cherry, Leather, Tobacco,,
